name,gender,medal_type,country,event,discipline,url
FLICKINGER Hali,Female,Bronze ,United States of America,Women's 400m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1302275-flickinger-hali.htm
RASHITOV Ulugbek,Male,Gold ,Uzbekistan,Men -68kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1310979-rashitov-ulugbek.htm
SINDEN Bradly,Male,Silver ,Great Britain,Men -68kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1440125-sinden-bradly.htm
RECBER Hakan,Male,Bronze ,Turkey,Men -68kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1327653-recber-hakan.htm
ZHAO Shuai,Male,Bronze ,People's Republic of China,Men -68kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1307140-zhao-shuai.htm
ZOLOTIC Anastasija,Female,Gold ,United States of America,Women -57kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1317805-zolotic-anastasija.htm
MININA Tatiana,Female,Silver ,ROC,Women -57kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1428989-minina-tatiana.htm
LO Chia-Ling,Female,Bronze ,Chinese Taipei,Women -57kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1324323-lo-chia-ling.htm
ILGUN Hatice Kubra,Female,Bronze ,Turkey,Women -57kg,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1327499-ilgun-hatice-kubra.htm
LI Fabin,Male,Gold ,People's Republic of China,Men's 61kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1342295-li-fabin.htm
IRAWAN Eko Yuli,Male,Silver ,Indonesia,Men's 61kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1321357-irawan-eko-yuli.htm
SON Igor,Male,Bronze ,Kazakhstan,Men's 61kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1307237-son-igor.htm
CHEN Lijun,Male,Gold ,People's Republic of China,Men's 67kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1309407-chen-lijun.htm
MOSQUERA LOZANO Luis Javier,Male,Silver ,Colombia,Men's 67kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1380756-mosquera-lozano-luis-javier.htm
ZANNI Mirko,Male,Bronze ,Italy,Men's 67kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1351143-zanni-mirko.htm
KIM Je Deok,Male,Gold ,Republic of Korea,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1440267-kim-je-deok.htm
OH Jinhyek,Male,Gold ,Republic of Korea,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1338266-oh-jinhyek.htm
KIM Woojin,Male,Gold ,Republic of Korea,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1338267-kim-woojin.htm
TANG Chih-Chun,Male,Silver ,Chinese Taipei,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1323940-tang-chih-chun.htm
WEI Chun-Heng,Male,Silver ,Chinese Taipei,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1324035-wei-chun-heng.htm
