name,gender,country,country_code,discipline,url,name_length
ACHAB Jaouad,Male,Belgium,BEL,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1393661-achab-jaouad.htm,12
ACHANTA Kamal,Male,India,IND,Table Tennis,../../../en/results/table-tennis/athlete-profile-n1307874-achanta-kamal.htm,13
ACHE Ragnar,Male,Germany,GER,Football,../../../en/results/football/athlete-profile-n1325288-ache-ragnar.htm,11
ACHILLEOS Georgios,Male,Cyprus,CYP,Shooting,../../../en/results/shooting/athlete-profile-n1464052-achilleos-georgios.htm,18
ACHIUWA Precious,Male,Nigeria,NGR,Basketball,../../../en/results/basketball/athlete-profile-n1400561-achiuwa-precious.htm,16
ACHONWA Natalie,Female,Canada,CAN,Basketball,../../../en/results/basketball/athlete-profile-n1432990-achonwa-natalie.htm,15
ACHOURI Haikel,Male,Tunisia,TUN,Wrestling,../../../en/results/wrestling/athlete-profile-n1420788-achouri-haikel.htm,14
ACIN Nikola,Male,Serbia,SRB,Swimming,../../../en/results/swimming/athlete-profile-n1344107-acin-nikola.htm,11
ACKERMANN Simone,Female,South Africa,RSA,Triathlon,../../../en/results/triathlon/athlete-profile-n1297381-ackermann-simone.htm,16
ACOSTA Briseida,Female,Mexico,MEX,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1293759-acosta-briseida.htm,15
ACOSTA FERNANDEZ Yasmani,Male,Chile,CHI,Wrestling,../../../en/results/wrestling/athlete-profile-n1309938-acosta-fernandez-yasmani.htm,24
ACOSTA GIRALDO Valentina,Female,Colombia,COL,Archery,../../../en/results/archery/athlete-profile-n1322474-acosta-giraldo-valentina.htm,24
ACOSTA Marcelo,Male,El Salvador,ESA,Swimming,../../../en/results/swimming/athlete-profile-n1328219-acosta-marcelo.htm,14
ACUNA Yenny,Female,Chile,CHI,Football,../../../en/results/football/athlete-profile-n1332431-acuna-yenny.htm,11
ADACHI Kazuya,Male,Japan,JPN,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1313802-adachi-kazuya.htm,13
ADACHI Seiya,Male,Japan,JPN,Water Polo,../../../en/results/water-polo/athlete-profile-n1316488-adachi-seiya.htm,12
